WAVE,OPID,P011505,P011510,P011518,P011508,P99AG,P99ED01,P04ML01,JOBSAL
조사회차,패널ID,15세 아버지 직업,아버지 최종학력,15세 가정 형편,15세 부모님 관계,연령,학력,결혼경험,월 급여
3,4002,6,2,2,2,43,3,1,70
4,4002,6,2,2,2,45,3,1,200
5,4002,6,2,2,2,47,3,1,200
6,4002,6,2,2,2,49,3,1,350
7,4002,6,2,2,2,51,3,1,350
3,4003,7,3,3,2,19,7,2,55
5,4003,7,3,3,2,23,7,2,35
6,4003,7,3,3,2,25,7,2,140
5,4004,7,3,3,2,21,6,2,66
1,4102,12,3,2,6,52,7,1,50
2,4102,12,3,2,6,53,7,1,100
2,4104,5,5,2,2,30,8,2,120
3,4104,5,5,2,2,32,8,2,180
4,4202,6,3,2,2,52,4,1,100
5,4202,6,3,2,2,54,4,1,150
2,4302,6,3,3,2,39,7,1,30
3,4302,6,3,3,2,41,7,1,200
7,4302,6,3,3,2,49,7,1,150
1,4402,1,3,3,3,32,7,1,30
4,4402,1,3,3,3,37,7,1,60
5,4402,1,3,3,3,39,7,1,50
6,4402,1,3,3,3,41,7,1,50
7,4402,1,3,3,3,43,7,1,400
3,4502,12,3,5,6,48,2,1,20
4,4602,1,2,4,4,30,4,1,10
6,4602,1,2,4,4,34,4,1,130
2,4701,9,3,3,4,60,4,1,110
6,4902,9,2,3,3,42,4,1,80
7,4902,9,2,3,3,44,4,1,80
2,5002,6,2,3,3,48,5,1,100
3,5002,6,2,3,3,50,5,1,100
4,5002,6,2,3,3,52,5,1,100
6,5003,7,4,3,2,32,6,2,150
7,5003,7,4,3,2,34,6,1,240
1,5502,5,2,2,2,54,5,1,80
2,5502,5,2,2,2,55,5,1,300
3,5502,5,2,2,2,57,5,1,300
4,5502,5,2,2,2,59,5,1,320
1,5702,2,4,2,2,35,6,1,125
3,5702,2,4,2,2,38,7,1,120
4,5702,2,4,2,2,40,7,1,100
5,5702,2,4,2,2,42,7,1,150
6,5702,2,4,2,2,44,7,1,170
7,5702,2,4,2,2,46,7,1,250
6,5802,6,2,3,3,63,3,1,160
7,5802,6,2,3,3,65,3,1,40
1,5902,7,2,4,5,39,4,1,300
4,5902,7,2,4,5,44,4,1,250
1,6302,2,5,2,4,49,7,1,200
2,6302,2,5,2,4,50,7,1,100
3,6302,2,5,2,4,52,7,1,150
4,6302,2,5,2,4,54,7,1,250
5,6302,2,5,2,4,56,7,1,120
6,6302,2,5,2,4,58,7,1,80
7,6302,2,5,2,4,60,7,1,140
3,6303,1,6,2,1,25,7,2,380
4,6303,1,6,2,1,27,7,2,375
5,6303,1,6,2,1,29,7,2,583
6,6303,1,6,2,1,31,7,2,540
7,6303,1,6,2,1,33,7,2,500
4,6402,5,3,2,2,39,6,1,30
1,6801,2,4,3,3,37,4,1,130
2,6801,2,4,3,3,38,4,1,150
3,6801,2,4,3,3,40,4,1,180
4,6801,2,4,3,3,42,4,1,120
6,6801,2,4,3,3,46,4,1,150
7,6801,2,4,3,3,48,4,1,150
1,6902,12,4,5,6,44,-9,1,50
2,6902,12,4,5,6,45,-9,1,100
3,6902,12,4,5,6,47,-9,1,100
4,6902,12,4,5,6,49,-9,1,120
5,6902,12,4,5,6,51,-9,1,130
6,6902,12,4,5,6,53,-9,1,150
7,6902,12,4,5,6,55,-9,1,180
1,7102,12,3,5,6,53,-9,1,50
2,7102,12,3,5,6,54,-9,1,70
5,7102,12,3,5,6,60,-9,1,60
1,7302,5,3,5,3,35,7,1,417
2,7302,5,3,5,3,36,7,1,120
3,7302,5,3,5,3,38,7,1,150
1,7401,6,3,3,4,45,5,1,170
2,7401,6,3,3,4,46,5,1,190
3,7401,6,3,3,4,48,5,1,190
4,7401,6,3,3,4,50,5,1,180
5,7401,6,3,3,4,52,5,1,150
6,7401,6,3,3,4,54,5,1,170
7,7401,6,3,3,4,56,5,1,180
3,7403,12,3,4,6,22,7,2,50
6,7403,12,3,4,6,28,7,2,150
7,7403,12,3,4,6,30,7,2,150
5,7502,5,4,2,2,41,5,1,70
6,7502,5,4,2,2,43,5,1,80
6,7602,5,3,5,4,49,5,1,128
7,7602,5,3,5,4,51,5,1,160
