,,성장환경,,,,개인 spec.,,,,,,일자리 특징,,,,종속변수,,,,,,,,
WAVE,OPID,P011505,P011510,P011518,P011508,P99AG,P99ED01,P04ML01,P02ED07,P02MC01,P02ED16,WCSEL01,PP99RA,WCKD,WCEMP,JOBSAL,P03SJ01,P03RT04,P03JH03,P06SJ01,P06RT04,W10EJ01B,W09SJ01,W09TW09D
조사회차,패널ID,15세 아버지 직업,아버지 최종학력,15세 가정 형편,15세 부모님 관계,연령,학력,결혼경험,고등학교 종류,대학전공,대학소재지,일자리구분(정규/비정규),직위,직장종류,사업체 직원 수,월 급여,첫 직장입직,첫 직장 퇴직,첫직장 유지,새로운 일자리 입직,하던일 퇴직,최근 일자리 그만둔 시점,이전일자리 입직,이전일자리 퇴직
2,1402,7,2,2,1,62,3,1,,,,,,,,,,,,,,,,
3,1402,7,2,2,1,64,3,1,,,,,,,,,,,,,,,,
4,1402,7,2,2,1,66,3,1,,,,,,,,,,,,,,,,
5,1402,7,2,2,1,68,3,1,,,,,,,,,,,,,,,,
6,1402,7,2,2,1,70,3,1,,,,,,,,,,,,,,,,
7,1402,7,2,2,1,72,3,1,,,,2,1,5,3,25,,,,,,,,
1,1502,6,3,3,2,31,4,1,3,,,1,1,1,2,100,1995,1996,2,,,,,
2,1502,6,3,3,2,32,4,1,,,,1,1,1,1,100,,,,,,,,
3,1502,6,3,3,2,34,4,1,,,,2,1,1,1,80,,,,,,,,
4,1502,6,3,3,2,36,4,1,,,,2,1,1,1,90,,,,,,,,
5,1502,6,3,3,2,38,4,1,,,,2,1,1,1,100,,,,,,,,
6,1502,6,3,3,2,40,4,1,,,,2,1,1,1,100,,,,,,,,
7,1502,6,3,3,2,42,4,1,,,,2,1,1,1,150,,,,,,,,
1,1602,1,6,2,1,39,7,1,-9,5,1,1,1,4,2,380,1994,1997,2,,,,1995,1998
2,1602,1,6,2,1,40,7,1,,,,1,1,4,4,400,,,,,,,,
3,1602,1,6,2,1,42,7,1,,,,1,1,4,3,350,,,,,,,,
4,1602,1,6,2,1,44,7,1,,,,1,1,4,3,400,,,,,,,,
5,1602,1,6,2,1,46,7,1,,,,1,1,4,3,400,,,,,,,,
6,1602,1,6,2,1,48,7,1,,,,1,1,4,2,400,,,,,,,,
7,1602,1,6,2,1,50,7,1,,,,1,1,4,3,400,,,,,,,,
1,1702,5,4,3,2,32,6,1,1,7,15,1,1,1,4,180,1997,2007,1,,,,,
3,1702,5,4,3,2,35,6,1,,,,1,1,1,3,200,,,,,,,,
1,1802,12,4,4,6,39,5,1,1,,,,2,,,500,1987,1990,2,,,,1992,1994
2,1802,12,4,4,6,40,5,1,,,,,2,,,0,,,,,,,,
3,1802,12,4,4,6,42,5,1,,,,,2,,,800,,,,,,,,
4,1802,12,4,4,6,44,5,1,,,,,2,,,900,,,,,,,,
5,1802,12,4,4,6,46,5,1,,,,,2,,,900,,,,,,,,
6,1802,12,4,4,6,48,5,1,,,,,2,,,1000,,,,,,,,
7,1802,12,4,4,6,50,5,1,,,,,2,,,1000,,,,,,,,
1,1901,6,2,3,2,53,5,1,1,,,,2,,,50,1978,1981,2,1978,,,1995,1999
2,1901,6,2,3,2,54,5,1,,,,,2,,,-9,,,,,,,,
4,1901,6,2,3,2,58,5,1,,,,,2,,,0,,,,,,,,
5,1901,6,2,3,2,60,5,1,,,,,2,,,100,,,,,,,,
6,1901,6,2,3,2,62,5,1,,,,1,1,1,2,150,,,,,,,,
7,1901,6,2,3,2,64,5,1,,,,1,1,1,2,200,,,,,,,,
5,1902,5,4,4,2,35,7,1,3,2,8,,,,,,2000,2010,2,,,,2000,2010
6,1902,5,4,4,2,37,7,1,,,,,,,,,,,,,,,,
7,1902,5,4,4,2,39,7,1,,,,,2,,,100,,,,,,,,
6,1904,7,4,4,3,33,7,1,1,5,1,1,1,1,5,300,2007,2012,2,,,,2007,2012
