,,성장환경,,,,개인 spec.,,,,,,일자리 특징,,,,종속변수,,,,,,,,
WAVE,OPID,P011505,P011510,P011518,P011508,P99AG,P99ED01,P04ML01,P02ED07,P02MC01,P02ED16,WCSEL01,PP99RA,WCKD,WCEMP,JOBSAL,P03SJ01,P03RT04,P03JH03,P06SJ01,P06RT04,W10EJ01B,W09SJ01,W09TW09D
조사회차,패널ID,15세 아버지 직업,아버지 최종학력,15세 가정 형편,15세 부모님 관계,연령,학력,결혼경험,고등학교 종류,대학전공,대학소재지,일자리구분(정규/비정규),직위,직장종류,사업체 직원 수,월 급여,첫 직장입직,첫 직장 퇴직,첫직장 유지,새로운 일자리 입직,하던일 퇴직,최근 일자리 그만둔 시점,이전일자리 입직,이전일자리 퇴직
5,85002,10,6,4,2,50,9,1,,,,1,1,7,6,375,,,,,,,,
6,85002,10,6,4,2,52,9,1,,,,1,1,7,6,480,,,,,,,,
7,85002,10,6,4,2,54,9,1,,,,1,1,7,6,480,,,,,,,,
1,85102,9,2,3,3,47,5,1,1,,,1,1,5,3,400,1980,1982,2,,,,1983,1984
2,85102,9,2,3,3,48,5,1,,,,1,1,5,7,400,,,,,,,,
3,85102,9,2,3,3,50,5,1,,,,1,1,5,7,450,,,,,,,,
4,85102,9,2,3,3,52,5,1,,,,1,1,5,7,450,,,,,,,,
5,85102,9,2,3,3,54,5,1,,,,1,1,5,7,500,,,,,,,,
6,85102,9,2,3,3,56,5,1,,,,1,1,5,7,500,,,,,,,,
7,85102,9,2,3,3,58,5,1,,,,1,1,3,7,650,,,,,,,,
3,85103,1,5,4,4,22,7,2,1,14,10,,,,,,,,,,,,2008,2008
4,85103,1,5,4,4,24,7,2,,,,1,1,6,4,200,,,,,,,,
6,85103,1,5,4,4,28,7,1,,,,1,1,6,4,250,,,,,,,,
7,85103,1,5,4,4,30,7,1,,,,1,1,6,3,320,,,,,,,,
1,85202,1,6,1,3,46,8,1,2,6,1,,,,,,1992,2002,2,,,2002,1992,2002
2,85202,1,6,1,3,47,8,1,,,,,,,,,,,,,,,,
3,85202,1,6,1,3,49,8,1,,,,,,,,,,,,,,,,
4,85202,1,6,1,3,51,8,1,,,,,,,,,,,,,,,,
5,85202,1,6,1,3,53,8,1,,,,,,,,,,,,,,,,
6,85202,1,6,1,3,55,8,1,,,,,,,,,,,,,,,,
7,85202,1,6,1,3,57,8,1,,,,,,,,,,,,,,,,
1,85203,1,8,3,3,21,7,2,2,4,1,,,,,,,,,,,,,
2,85203,1,8,3,3,22,7,2,,,,2,1,1,1,35,,,,,,,,
3,85203,1,8,3,3,24,7,2,,,,,,,,,,,,,,,,
4,85203,1,8,3,3,26,7,2,,,,,,,,,,,,,,,,
5,85203,1,8,3,3,28,7,2,,,,,,,,,,,,,,,,
6,85203,1,8,3,3,30,7,2,,,,1,1,1,6,350,,,,,,,,
7,85203,1,8,3,3,32,7,2,,,,1,1,1,5,400,,,,,,,,
1,85302,6,3,3,2,38,7,1,2,10,1,1,1,1,6,300,1992,,1,,,,,
2,85302,6,3,3,2,39,7,1,,,,1,1,7,6,350,,,,,,,,
5,85302,6,3,3,2,45,7,1,,,,1,1,1,4,400,,,,,,,,
6,85302,6,3,3,2,47,7,1,,,,1,1,1,5,350,,,,,,,,
7,85302,6,3,3,2,49,7,1,,,,1,1,1,6,400,,,,,,,,
1,85401,1,6,3,3,50,5,1,1,,,,,,,,1976,1978,2,,,1992,1992,1995
2,85401,1,6,3,3,51,5,1,,,,,,,,,,,,,,,,
3,85401,1,6,3,3,53,5,1,,,,,,,,,,,,,,,,
4,85401,1,6,3,3,55,5,1,,,,,,,,,,,,,,,,
5,85401,1,6,3,3,57,5,1,,,,,,,,,,,,,,,,
6,85401,1,6,3,3,59,5,1,,,,,,,,,,,,,,,,
7,85401,1,6,3,3,61,5,1,,,,2,1,1,1,10,,,,,,,,
1,85502,6,3,3,2,27,7,1,2,3,1,1,1,1,7,250,2003,,1,,,,,
2,85502,6,3,3,2,28,7,1,,,,1,1,1,7,283,,,,,,,,
3,85502,6,3,3,2,30,7,1,,,,1,1,1,7,250,,,,,,,,
4,85502,6,3,3,2,32,7,1,,,,1,1,1,7,400,,,,,,,,
5,85502,6,3,3,2,34,7,1,,,,1,1,1,7,500,,,,,,,,
6,85502,6,3,3,2,36,7,1,,,,1,1,1,7,580,,,,,,,,
7,85502,6,3,3,2,38,7,1,,,,1,1,1,4,600,,,,,,,,
1,85602,3,4,3,2,27,7,1,1,3,5,1,1,5,7,170,2005,,1,,,,,
2,85602,3,4,3,2,28,7,1,,,,1,1,5,5,200,,,,,,,,
3,85602,3,4,3,2,30,7,1,,,,1,1,5,6,200,,,,,,,,
4,85602,3,4,3,2,32,7,1,,,,1,1,5,5,230,,,,,,,,
5,85602,3,4,3,2,34,7,1,,,,1,1,5,5,250,,,,,,,,
6,85602,3,4,3,2,36,7,1,,,,1,1,5,5,300,,,,,,,,
7,85602,3,4,3,2,38,7,1,,,,1,1,1,5,300,,,,,,,,
1,85702,7,1,4,4,36,5,1,1,,,,2,,,-9,1992,1999,2,,1999,,1992,1999
2,85702,7,1,4,4,37,5,1,,,,,2,,,-9,,,,,,,,
3,85702,7,1,4,4,39,5,1,,,,,2,,,100,,,,,,,,
4,85702,7,1,4,4,41,5,1,,,,,,,,,,,,,,,,
6,85702,7,1,4,4,45,5,1,,,,,,,,,,,,,,,,
7,85702,7,1,4,4,47,5,1,,,,,,,,,,,,,,,,
1,85801,11,7,3,3,37,7,2,1,3,1,1,1,6,3,250,2000,,1,,,,,
1,85902,3,4,3,3,28,7,1,1,6,1,,,,,,2003,2007,2,,,2007,2003,2007
2,85902,3,4,3,3,29,7,1,,,,1,1,1,3,283,,,,,,,,
1,86002,1,1,3,3,47,5,1,1,,,,,,,,,,,,,,,
1,86003,3,4,4,3,20,7,2,1,13,1,,,,,,,,,,,,,
1,86102,3,4,3,3,28,4,1,3,,,,,,,,1999,2002,2,,,2007,,
1,86202,6,2,4,3,36,4,1,3,,,,,,,,1988,1989,2,,,1997,1990,1997
2,86202,6,2,4,3,37,4,1,,,,,,,,,,,,,,,,
3,86202,6,2,4,3,39,4,1,,,,1,1,1,5,130,,,,,,,,
4,86202,6,2,4,3,41,4,1,,,,,,,,,,,,,,,,
5,86202,6,2,4,3,43,4,1,,,,,,,,,,,,,,,,
1,86302,4,4,3,3,50,5,1,1,,,,,,,,1979,1984,2,,,1984,,
2,86302,4,4,3,3,51,5,1,,,,,,,,,,,,,,,,
3,86302,4,4,3,3,53,5,1,,,,,,,,,,,,,,,,
1,86303,7,4,3,3,20,7,2,1,3,1,,,,,,,,,,,,,
2,86303,7,4,3,3,21,7,2,,,,,,,,,,,,,,,,
1,86402,2,1,2,3,57,5,1,1,,,,,,,,,,,,,,,
2,86402,2,1,2,3,58,5,1,,,,,,,,,,,,,,,,
3,86402,2,1,2,3,60,5,1,,,,,,,,,,,,,,,,
4,86402,2,1,2,3,62,5,1,,,,,,,,,,,,,,,,
5,86402,2,1,2,3,64,5,1,,,,,,,,,,,,,,,,
6,86402,2,1,2,3,66,5,1,,,,,,,,,,,,,,,,
7,86402,2,1,2,3,68,5,1,,,,,,,,,,,,,,,,
1,86502,2,4,3,1,29,7,1,2,14,1,1,1,6,4,200,2003,,1,,,,,
2,86502,2,4,3,1,30,7,1,,,,1,1,6,4,220,,,,,,,,
3,86502,2,4,3,1,32,7,1,,,,1,1,6,4,220,,,,,,,,
1,86602,6,1,5,1,52,4,1,3,,,,,,,,1977,1980,2,,,,,
2,86602,6,1,5,1,53,4,1,,,,,,,,,,,,,,,,
3,86602,6,1,5,1,55,4,1,,,,,,,,,,,,,,,,
4,86602,6,1,5,1,57,4,1,,,,,,,,,,,,,,,,
5,86602,6,1,5,1,59,4,1,,,,,,,,,,,,,,,,
6,86602,6,1,5,1,61,4,1,,,,,,,,,,,,,,,,
7,86602,6,1,5,1,63,4,1,,,,,,,,,,,,,,,,
1,86603,2,6,2,1,25,7,2,2,5,1,,,,,,,,,,,,,
2,86603,2,6,2,1,26,7,2,,,,1,1,1,4,200,,,,,,,,
3,86603,2,6,2,1,28,7,2,,,,1,1,4,4,250,,,,,,,,
4,86603,2,6,2,1,30,7,2,,,,1,1,1,4,300,,,,,,,,
5,86603,2,6,2,1,32,7,1,,,,1,1,1,5,200,,,,,,,,
6,86603,2,6,2,1,34,7,1,,,,,,,,,,,,,,,,
7,86603,2,6,2,1,36,7,1,,,,,,,,,,,,,,,,
1,86702,6,1,4,1,50,3,1,,,,,,,,,,,,,,,,
1,86802,6,3,4,1,38,7,1,1,1,8,,,,,,1992,1994,2,,2006,,,
2,86802,6,3,4,1,39,7,1,,,,,,,,,,,,,,,,
3,86802,6,3,4,1,41,7,1,,,,,,,,,,,,,,,,
4,86802,6,3,4,1,43,7,1,,,,,,,,,,,,,,,,
5,86802,6,3,4,1,45,7,1,,,,,,,,,,,,,,,,
6,86802,6,3,4,1,47,7,1,,,,,,,,,,,,,,,,
7,86802,6,3,4,1,49,7,1,,,,,,,,,,,,,,,,
1,86902,7,6,2,2,42,7,1,1,1,1,,,,,,1989,1994,2,,,2007,2005,2007
2,86902,7,6,2,2,43,7,1,,,,,,,,,,,,,,,,
3,86902,7,6,2,2,45,7,1,,,,,,,,,,,,,,,,
5,86902,7,6,2,2,49,7,1,,,,,,,,,,,,,,,,
6,86902,7,6,2,2,51,7,1,,,,,,,,,,,,,,,,
7,86902,7,6,2,2,53,7,1,,,,2,1,1,1,36,,,,,,,,
1,87002,12,6,4,6,61,5,1,1,,,,,,,,1965,1974,2,,,1974,,
2,87002,12,6,4,6,62,5,1,,,,,,,,,,,,,,,,
3,87002,12,6,4,6,64,5,1,,,,,,,,,,,,,,,,
4,87002,12,6,4,6,66,5,1,,,,,,,,,,,,,,,,
5,87002,12,6,4,6,68,5,1,,,,,,,,,,,,,,,,
1,87102,3,3,4,3,33,5,1,1,,,,,,,,1994,1995,2,,,1998,1996,1998
1,87202,5,1,3,3,52,5,1,1,,,,,,,,1974,1977,2,,,1977,,
1,87203,7,4,3,3,29,7,2,1,13,1,,,,,,2002,2007,2,,,2007,2002,2007
1,87204,7,4,4,4,27,8,2,1,3,1,,,,,,,,,,,,,
1,87302,3,4,3,2,30,7,1,2,9,1,1,1,1,3,250,2000,,1,,,,,
1,87402,5,2,3,3,33,4,1,3,,,1,1,4,4,200,1993,,1,,,,,
2,87402,5,2,3,3,34,4,1,,,,1,1,1,6,208,,,,,,,,
3,87402,5,2,3,3,36,4,1,,,,1,1,4,4,250,,,,,,,,
4,87402,5,2,3,3,38,4,1,,,,1,1,4,5,200,,,,,,,,
5,87402,5,2,3,3,40,4,1,,,,1,1,4,6,300,,,,,,,,
6,87402,5,2,3,3,42,4,1,,,,1,1,4,7,300,,,,,,,,
7,87402,5,2,3,3,44,4,1,,,,1,1,4,7,350,,,,,,,,
1,87502,6,4,4,3,54,3,1,,,,,,,,,1973,1975,2,,,,,
2,87502,6,4,4,3,55,3,1,,,,,,,,,,,,,,,,
3,87502,6,4,4,3,57,3,1,,,,,,,,,,,,,,,,
4,87502,6,4,4,3,59,3,1,,,,,,,,,,,,,,,,
5,87502,6,4,4,3,61,3,1,,,,,,,,,,,,,,,,
1,87503,1,5,4,3,28,7,2,1,12,1,1,1,4,3,250,2005,2005,2,,,,2005,2006
2,87503,1,5,4,3,29,7,2,,,,1,1,1,3,317,,,,,,,,
3,87503,1,5,4,3,31,7,2,,,,1,1,1,4,200,,,,,,,,
5,87503,1,5,4,3,35,7,2,,,,1,1,1,4,300,,,,,,,,
1,87601,6,2,4,3,61,2,1,,,,,,,,,,,,,,,,
2,87601,6,2,4,3,62,2,1,,,,,,,,,,,,,,,,
3,87601,6,2,4,3,64,2,1,,,,,,,,,,,,,,,,
4,87601,6,2,4,3,66,2,1,,,,,,,,,,,,,,,,
1,87604,7,4,3,3,37,4,1,3,,,,,,,,1990,1999,2,,1999,2007,2006,2007
2,87604,7,4,3,3,38,4,1,,,,2,1,1,1,100,,,,,,,,
3,87604,7,4,3,3,40,4,1,,,,2,1,1,2,100,,,,,,,,
4,87604,7,4,3,3,42,4,1,,,,2,1,1,1,160,,,,,,,,
5,87604,7,4,3,3,44,4,1,,,,1,1,1,3,190,,,,,,,,
1,87703,5,2,4,3,43,4,1,3,,,1,1,1,1,150,1982,1984,2,,,,1999,2001
2,87703,5,2,4,3,44,4,1,,,,1,1,1,1,130,,,,,,,,
3,87703,5,2,4,3,46,4,1,,,,1,1,1,1,140,,,,,,,,
4,87703,5,2,4,3,48,4,1,,,,1,1,1,2,130,,,,,,,,
5,87703,5,2,4,3,50,7,1,,3,1,1,1,1,2,140,,,,,,,,
6,87703,5,2,4,3,52,7,1,,,,,,,,,,,,,,,,
7,87703,5,2,4,3,54,7,1,,,,,,,,,,,,,,,,
1,87802,6,2,5,3,59,2,1,,,,,,,,,,,,,,,,
2,87802,6,2,5,3,60,2,1,,,,,,,,,,,,,,,,
3,87802,6,2,5,3,62,2,1,,,,,,,,,,,,,,,,
4,87802,6,2,5,3,64,2,1,,,,,,,,,,,,,,,,
5,87802,6,2,5,3,66,2,1,,,,,,,,,,,,,,,,
6,87802,6,2,5,3,68,2,1,,,,,,,,,,,,,,,,
7,87802,6,2,5,3,70,2,1,,,,,,,,,,,,,,,,
2,87902,5,3,3,3,48,7,1,1,14,1,,,,,,,,,,,,,
5,87902,5,3,3,3,54,7,1,,,,,,,,,,,,,,,,
6,87902,5,3,3,3,56,7,1,,,,,,,,,,,,,,,,
7,87902,5,3,3,3,58,7,1,,,,,,,,,,,,,,,,
1,87903,2,6,3,2,22,7,2,1,12,1,,,,,,,,,,,2006,-9,2006
2,87903,2,6,3,2,23,7,2,,,,,,,,,,,,,,,,
3,87903,2,6,3,2,25,7,2,,,,,,,,,,,,,,,,
4,87903,2,6,3,2,27,7,2,,,,2,1,1,3,150,,,,,,,,
5,87903,2,6,3,2,29,7,2,,,,2,1,1,2,90,,,,,,,,
6,87903,2,6,3,2,31,7,2,,,,2,1,1,1,280,,,,,,,,
7,87903,2,6,3,2,33,7,2,,,,1,1,1,2,120,,,,,,,,
1,88001,2,5,2,1,29,7,2,1,7,1,1,1,1,5,300,2002,,1,,,,,
2,88001,2,5,2,1,30,7,2,,,,,,,,,,,,,,,,
3,88001,2,5,2,1,32,7,2,,,,,,,,,,,,,,,,
6,88001,2,5,2,1,38,7,1,,,,,,,,,,,,,,,,
7,88001,2,5,2,1,40,7,1,,,,,,,,,,,,,2008,,,
2,88002,6,2,3,2,61,4,1,3,,,,,,,,,,,,,,,
3,88002,6,2,3,2,63,4,1,,,,,,,,,,,,,,,,
4,88002,6,2,3,2,65,4,1,,,,,,,,,,,,,,,,
5,88002,6,2,3,2,67,6,1,,6,1,,,,,,,,,,,,,
6,88002,6,2,3,2,69,6,1,,,,,,,,,,,,,,,,
7,88002,6,2,3,2,71,6,1,,,,,,,,,,,,,,,,
1,88101,6,1,3,3,58,5,1,1,,,,,,,,-9,,-9,,-9,1987,1980,1987
3,88101,6,1,3,3,61,5,1,,,,,,,,,,,,,,,,
5,88101,6,1,3,3,65,5,1,,,,,,,,,,,,,,,,
6,88101,6,1,3,3,67,5,1,,,,,,,,,,,,,,,,
7,88101,6,1,3,3,69,5,1,,,,,,,,,,,,,,,,
5,88102,3,6,3,2,33,8,2,1,3,1,,,,,,,,,,,,,
6,88102,3,6,3,2,35,8,2,,,,1,1,1,3,500,,,,,,,,
1,88202,1,6,3,2,50,7,1,1,6,1,,,,,,,,,,,,,
2,88202,1,6,3,2,51,7,1,,,,,,,,,,,,,,,,
3,88202,1,6,3,2,53,7,1,,,,,,,,,,,,,,,,
4,88202,1,6,3,2,55,7,1,,,,,,,,,,,,,,,,
5,88202,1,6,3,2,57,7,1,,,,,,,,,,,,,,,,
6,88202,1,6,3,2,59,7,1,,,,,,,,,,,,,,,,
7,88202,1,6,3,2,61,7,1,,,,,,,,,,,,,,,,
2,88203,1,6,2,1,24,7,2,1,1,1,,,,,,,,,,,,,
3,88203,1,6,2,1,26,7,2,,,,,,,,,,,,,,,,
5,88203,1,6,2,1,30,8,2,,,,,,,,,,,,,,,,
1,88302,2,6,3,3,35,7,1,-9,12,8,,,,,,1995,1999,2,,1999,1999,1995,1999
2,88302,2,6,3,3,36,7,1,,,,,,,,,,,,,,,,
3,88302,2,6,3,3,38,7,1,,,,,,,,,,,,,,,,
4,88302,2,6,3,3,40,7,1,,,,,,,,,,,,,,,,
5,88302,2,6,3,3,42,7,1,,,,,,,,,,,,,,,,
1,88402,6,3,3,3,27,7,1,1,1,1,,,,,,2005,2007,2,,2007,2007,2006,2007
2,88402,6,3,3,3,28,7,1,,,,,,,,,,,,,,,,
1,88503,4,3,3,3,25,6,2,1,12,11,2,1,1,1,-8,2001,2004,2,,,,2001,2004
1,88601,6,3,4,2,38,4,1,3,,,,,,,,1989,1999,2,,1999,1999,1989,1999
2,88601,6,3,4,2,39,4,1,,,,2,1,1,2,80,,,,,,,,
3,88601,6,3,4,2,41,4,1,,,,2,1,1,2,100,,,,,,,,
4,88601,6,3,4,2,43,4,1,,,,1,1,1,2,150,,,,,,,,
5,88601,6,3,4,2,45,4,1,,,,1,1,1,2,150,,,,,,,,
6,88601,6,3,4,2,47,4,1,,,,1,1,1,2,150,,,,,,,,
7,88601,6,3,4,2,49,4,1,,,,1,1,1,1,150,,,,,,,,
1,88702,4,6,3,2,36,5,1,1,,,,,,,,,,,,,2007,2005,2007
2,88702,4,6,3,2,37,5,1,,,,,,,,,,,,,,,,
3,88702,4,6,3,2,39,5,1,,,,,,,,,,,,,,,,
4,88702,4,6,3,2,41,5,1,,,,,,,,,,,,,,,,
5,88702,4,6,3,2,43,5,1,,,,,,,,,,,,,,,,
6,88702,4,6,3,2,45,5,1,,,,,,,,,,,,,,,,
7,88702,4,6,3,2,47,5,1,,,,,,,,,,,,,,,,
1,88801,12,6,3,6,55,5,1,1,,,1,1,6,2,80,1997,1999,2,,,,1995,1997
2,88801,12,6,3,6,56,5,1,,,,1,1,6,2,90,,,,,,,,
3,88801,12,6,3,6,58,5,1,,,,,,,,,,,,,,,,
4,88801,12,6,3,6,60,5,1,,,,,,,,,,,,,,,,
5,88801,12,6,3,6,62,5,1,,,,,,,,,,,,,,,,
6,88801,12,6,3,6,64,5,1,,,,,,,,,,,,,,,,
7,88801,12,6,3,6,66,5,1,,,,,,,,,,,,,,,,
2,88803,3,6,3,2,26,7,2,1,3,1,2,1,1,1,40,2001,2004,2,,,,2001,2004
4,88803,3,6,3,2,30,7,1,,,,,,,,,,,,,,,,
5,88803,3,6,3,2,32,7,1,,,,,,,,,,,,,,,,
6,88803,3,6,3,2,34,7,1,,,,1,1,1,4,175,,,,,,,,
7,88803,3,6,3,2,36,7,1,,,,,,,,,,,,,,,,
1,88901,1,7,2,3,32,8,1,1,3,1,1,1,1,7,300,1999,2001,2,,,,1999,2001
2,88901,1,7,2,3,33,8,1,,,,1,1,1,7,250,,,,,,,,
3,88901,1,7,2,3,35,8,1,,,,1,1,1,7,350,,,,,,,,
4,88901,1,7,2,3,37,8,1,,,,1,1,1,7,417,,,,,,,,
1,89002,6,2,4,3,42,4,1,3,,,,,,,,2000,2006,2,,,2006,2000,2006
2,89002,6,2,4,3,43,4,1,,,,,,,,,,,,,,,,
3,89002,6,2,4,3,45,4,1,,,,,,,,,,,,,,,,
1,89101,6,2,3,3,60,3,1,,,,,,,,,1972,1974,2,,,1974,1972,1974
2,89101,6,2,3,3,61,3,1,,,,,,,,,,,,,,,,
4,89101,6,2,3,3,65,3,1,,,,,,,,,,,,,,,,
5,89101,6,2,3,3,67,3,1,,,,,,,,,,,,,,,,
7,89101,6,2,3,3,71,3,1,,,,,,,,,,,,,,,,
1,89202,6,2,5,2,59,7,1,1,2,8,,,,,,1970,1971,2,,,,,
2,89202,6,2,5,2,60,7,1,,,,,,,,,,,,,,,,
3,89202,6,2,5,2,62,7,1,,,,2,1,1,3,100,,,,,,,,
4,89202,6,2,5,2,64,7,1,,,,,,,,,,,,,,,,
1,89203,2,6,3,2,32,7,2,1,1,8,1,1,1,2,150,1998,1999,2,,,,,
2,89203,2,6,3,2,33,7,2,,,,1,1,1,3,150,,,,,,,,
1,89302,6,3,4,6,49,3,1,,,,2,1,10,2,30,1980,1982,2,,1982,,,
2,89302,6,3,4,6,50,3,1,,,,2,1,1,1,30,,,,,,,,
3,89302,6,3,4,6,52,3,1,,,,2,1,1,4,110,,,,,,,,
4,89302,6,3,4,6,54,3,1,,,,2,1,1,7,100,,,,,,,,
5,89302,6,3,4,6,56,3,1,,,,,,,,,,,,,,,,
1,89303,9,3,5,3,23,7,2,2,9,1,2,1,7,4,20,2006,,1,,,,,
2,89303,9,3,5,3,24,7,2,,,,2,1,7,5,100,,,,,,,,
3,89303,9,3,5,3,26,7,2,,,,,,,,,,,,,,,,
4,89303,9,3,5,3,28,7,2,,,,,,,,,,,,,,,,
5,89303,9,3,5,3,30,7,2,,,,1,1,5,3,200,,,,,,,,
1,89304,9,3,4,2,21,6,2,3,5,1,2,1,1,2,40,2004,2007,2,,,,2004,2007
2,89304,9,3,4,2,22,6,2,,,,2,1,1,1,20,,,,,,,,
3,89304,9,3,4,2,24,6,2,,,,1,1,1,3,150,,,,,,,,
4,89304,9,3,4,2,26,6,2,,,,1,1,1,5,170,,,,,,,,
5,89304,9,3,4,2,28,6,2,,,,1,1,1,3,120,,,,,,,,
4,89305,9,3,3,3,19,6,2,2,5,8,,,,,,2011,2011,2,,,,,
5,89305,9,3,3,3,21,6,2,,,,,,,,,,,,,,,,
1,89401,6,2,3,2,58,2,1,,,,,,,,,,,,,,,,
2,89401,6,2,3,2,59,2,1,,,,,,,,,,,,,,,,
3,89401,6,2,3,2,61,2,1,,,,,,,,,,,,,,,,
4,89401,6,2,3,2,63,2,1,,,,,,,,,,,,,,,,
5,89401,6,2,3,2,65,2,1,,,,,,,,,,,,,,,,
6,89401,6,2,3,2,67,2,1,,,,,,,,,,,,,,,,
7,89401,6,2,3,2,69,2,1,,,,,,,,,,,,,,,,
1,89403,5,2,3,2,39,5,1,1,,,,2,,,200,2006,2006,2,,,,2006,2006
2,89403,5,2,3,2,40,5,1,,,,,2,,,200,,,,,,,,
3,89403,5,2,3,2,42,5,1,,,,,2,,,300,,,,,,,,
4,89403,5,2,3,2,44,5,1,,,,,2,,,300,,,,,,,,
5,89403,5,2,3,2,46,5,1,,,,,2,,,350,,,,,,,,
6,89403,5,2,3,2,48,5,1,,,,,2,,,300,,,,,,,,
7,89403,5,2,3,2,50,5,1,,,,,2,,,300,,,,,,,,
1,89406,4,4,2,3,32,5,1,1,,,,,,,,1995,-8,2,,,,,
2,89406,4,4,2,3,33,5,1,,,,,,,,,,,,,,,,
3,89406,4,4,2,3,35,5,1,,,,,,,,,,,,,,,,
4,89406,4,4,2,3,37,5,1,,,,,,,,,,,,,,,,
5,89406,4,4,2,3,39,5,1,,,,,,,,,,,,,,,,
6,89406,4,4,2,3,41,5,1,,,,,,,,,,,,,,,,
1,89502,5,1,3,1,49,7,1,1,6,3,,,,,,,,,,,2007,2005,2007
2,89502,5,1,3,1,50,7,1,,,,,,,,,,,,,,,,
1,89602,4,4,3,3,21,5,1,1,,,,,,,,,,,,,,,
1,89701,6,2,3,2,58,2,1,,,,,3,,,0,1980,,1,,,,,
2,89701,6,2,3,2,59,2,1,,,,,3,,,0,,,,,,,,
3,89701,6,2,3,2,61,2,1,,,,,,,,,,,,,,,,
4,89701,6,2,3,2,63,2,1,,,,,,,,,,,,,,,,
6,89701,6,2,3,2,67,2,1,,,,,,,,,,,,,,,,
1,89801,2,4,2,2,40,7,1,1,14,15,,,,,,1992,1996,2,,1996,2000,1992,1996
2,89801,2,4,2,2,41,7,1,,,,,,,,,,,,,,,,
1,89901,7,4,3,3,31,6,1,1,3,2,,,,,,1998,2003,2,2006,,2007,2006,2007
2,89901,7,4,3,3,32,6,1,,,,,,,,,,,,,,,,
3,89901,7,4,3,3,34,6,1,,,,,,,,,,,,,,,,
4,89901,7,4,3,3,36,6,1,,,,,,,,,,,,,,,,
5,89901,7,4,3,3,38,6,1,,,,,,,,,,,,,,,,
6,89901,7,4,3,3,40,6,1,,,,,,,,,,,,,,,,
7,89901,7,4,3,3,42,6,1,,,,,,,,,,,,,,,,
1,90001,7,4,2,3,64,2,1,,,,,3,,,0,1991,,-9,,,,,
2,90001,7,4,2,3,65,2,1,,,,,3,,,0,,,,,,,,
3,90001,7,4,2,3,67,2,1,,,,,3,,,,,,,,,,,
4,90001,7,4,2,3,69,2,1,,,,,,,,,,,,,,,,
5,90001,7,4,2,3,71,2,1,,,,,,,,,,,,,,,,
6,90001,7,4,2,3,73,2,1,,,,,,,,,,,,,,,,
1,90101,4,6,5,1,24,7,2,1,2,1,,,,,,2002,2006,2,,,2006,2002,2006
1,90202,6,3,3,2,60,5,1,1,,,2,1,4,3,100,2001,,1,,,,,
2,90202,6,3,3,2,61,5,1,,,,2,1,1,4,100,,,,,,,,
3,90202,6,3,3,2,63,5,1,,,,2,1,1,3,100,,,,,,,,
4,90202,6,3,3,2,65,5,1,,,,2,1,1,3,120,,,,,,,,
5,90202,6,3,3,2,67,5,1,,,,,,,,,,,,,,,,
6,90202,6,3,3,2,69,5,1,,,,,,,,,,,,,,,,
7,90202,6,3,3,2,71,5,1,,,,,,,,,,,,,,,,
1,90301,9,4,3,2,53,5,1,1,,,,2,,,300,1994,1997,2,,,,,
2,90301,9,4,3,2,54,5,1,,,,,2,,,200,,,,,,,,
3,90301,9,4,3,2,56,5,1,,,,,2,,,200,,,,,,,,
4,90301,9,4,3,2,58,5,1,,,,,2,,,300,,,,,,,,
5,90301,9,4,3,2,60,5,1,,,,,2,,,300,,,,,,,,
6,90301,9,4,3,2,62,5,1,,,,,2,,,300,,,,,,,,
7,90301,9,4,3,2,64,5,1,,,,,2,,,200,,,,,,,,
1,90303,4,5,3,3,26,6,2,2,5,1,,,,,,2004,2005,2,,,2005,,
1,90305,4,5,3,3,22,6,2,2,5,8,1,1,1,2,125,2004,2006,2,,,,2004,2006
2,90305,4,5,3,3,23,6,2,,,,1,1,1,3,200,,,,,,,,
3,90305,4,5,3,3,25,6,2,,,,1,1,1,3,220,,,,,,,,
4,90305,4,5,3,3,27,6,2,,,,1,1,1,4,300,,,,,,,,
5,90305,4,5,3,3,29,6,1,,,,1,1,2,4,250,,,,,,,,
6,90305,4,5,3,3,31,6,1,,,,1,1,2,4,400,,,,,,,,
7,90305,4,5,3,3,33,6,1,,,,,,,,,,,,,,,,
1,90402,6,2,2,4,56,3,1,,,,,,,,,,,,,,,,
3,90402,6,2,2,4,59,3,1,,,,,,,,,,,,,,,,
4,90402,6,2,2,4,61,3,1,,,,,,,,,,,,,,,,
5,90402,6,2,2,4,63,3,1,,,,,,,,,,,,,,,,
6,90402,6,2,2,4,65,3,1,,,,,,,,,,,,,,,,
7,90402,6,2,2,4,67,3,1,,,,,,,,,,,,,,,,
1,90501,6,2,4,3,33,6,2,1,3,13,1,1,5,4,150,1994,1996,2,,,,1994,1996
2,90501,6,2,4,3,34,6,2,,,,1,1,3,4,167,,,,,,,,
4,90501,6,2,4,3,38,6,2,,,,1,1,3,6,200,,,,,,,,
5,90501,6,2,4,3,40,6,2,,,,1,1,3,4,120,,,,,,,,
1,90502,6,2,4,3,27,6,2,1,3,13,,,,,,,,,,,,,
2,90502,6,2,4,3,28,6,2,,,,,,,,,,,,,,,,
4,90502,6,2,4,3,32,6,2,,,,,,,,,,,,,,,,
5,90502,6,2,4,3,34,6,2,,,,,,,,,,,,,,,,
6,90502,6,2,4,3,36,6,2,,,,2,1,1,2,40,,,,,,,,
