age,JOBSAL,working_y,marry_no,univ_in_seoul,fulltime_job,univ_grad
33.0,80.0,13,0,0,1,1
33.0,300.0,10,0,0,1,1
20.0,120.0,5,1,0,0,0
35.0,300.0,10,1,1,1,1
22.0,150.0,1,1,1,1,1
24.0,180.0,1,1,0,0,1
32.0,150.0,13,1,1,1,1
30.0,250.0,11,1,0,1,0
25.0,300.0,1,1,0,1,1
33.0,100.0,1,0,0,0,1
24.0,150.0,4,1,0,1,1
38.0,200.0,14,0,0,1,1
22.0,200.0,1,1,0,1,1
37.0,317.0,14,1,1,1,1
26.0,100.0,1,1,0,1,1
24.0,200.0,2,1,0,1,1
21.0,200.0,1,1,0,1,1
41.0,100.0,5,0,0,0,1
23.0,100.0,2,1,0,1,1
20.0,150.0,1,1,0,1,0
26.0,125.0,7,0,0,1,0
29.0,150.0,2,1,0,0,1
27.0,180.0,4,1,1,1,1
24.0,200.0,11,1,0,0,1
25.0,200.0,2,1,0,1,1
30.0,300.0,5,1,0,1,1
57.0,100.0,2,0,0,0,0
25.0,200.0,2,1,0,1,1
27.0,250.0,5,0,0,1,1
30.0,80.0,7,1,0,0,1
32.0,250.0,6,0,0,1,1
34.0,40.0,13,0,0,0,1
32.0,120.0,12,1,0,1,0
28.0,210.0,5,0,0,1,1
22.0,150.0,2,1,0,1,1
29.0,150.0,2,1,0,1,1
34.0,208.0,4,1,0,1,1
31.0,250.0,8,0,0,1,1
36.0,192.0,14,0,0,1,1
29.0,100.0,7,1,0,1,1
29.0,300.0,7,0,0,1,1
36.0,300.0,12,0,0,1,1
47.0,250.0,5,0,0,0,0
28.0,200.0,4,0,0,1,1
21.0,130.0,4,1,0,1,0
28.0,120.0,1,1,0,0,1
27.0,120.0,2,1,0,1,1
33.0,70.0,1,1,0,1,1
31.0,200.0,8,0,0,1,1
26.0,120.0,8,0,0,1,1
23.0,110.0,3,1,0,1,1
26.0,150.0,11,1,0,1,1
33.0,200.0,13,0,0,1,0
24.0,100.0,5,1,0,1,0
19.0,150.0,1,1,0,1,0
23.0,208.0,1,1,0,1,1
30.0,180.0,9,0,0,1,1
25.0,300.0,5,1,0,0,1
28.0,167.0,8,1,0,0,1
23.0,150.0,1,1,0,1,1
27.0,140.0,5,1,0,1,1
23.0,200.0,1,1,0,1,1
34.0,200.0,5,0,0,0,1
24.0,100.0,1,1,0,1,1
29.0,180.0,6,0,0,1,1
26.0,170.0,2,1,0,1,1
26.0,80.0,8,1,0,1,1
37.0,180.0,8,0,0,0,1
25.0,50.0,4,1,0,0,1
36.0,267.0,13,0,0,1,1
22.0,130.0,1,1,0,1,1
37.0,308.0,14,0,0,1,1
29.0,200.0,5,0,0,1,1
28.0,100.0,4,0,0,0,1
31.0,333.0,7,0,0,1,1
27.0,250.0,2,1,0,1,1
60.0,80.0,7,0,0,0,0
26.0,208.0,3,1,0,1,1
27.0,160.0,5,1,0,1,1
28.0,100.0,3,0,0,0,1
37.0,200.0,12,0,0,1,1
20.0,200.0,1,1,0,1,0
25.0,110.0,4,1,0,1,1
26.0,180.0,2,1,0,1,1
51.0,150.0,5,0,0,0,0
27.0,150.0,1,0,0,0,1
27.0,120.0,3,1,0,1,1
20.0,150.0,1,1,0,1,1
32.0,150.0,10,0,0,1,1
21.0,150.0,1,1,1,1,1
30.0,100.0,7,1,0,0,1
50.0,100.0,10,0,0,0,0
24.0,150.0,1,1,0,0,1
22.0,170.0,1,1,0,1,0
25.0,200.0,2,1,0,1,1
32.0,100.0,9,0,0,1,1
30.0,200.0,7,1,0,1,1
24.0,250.0,4,1,1,1,1
25.0,200.0,2,1,0,1,1
26.0,200.0,3,1,0,1,1
33.0,300.0,9,1,1,1,1
27.0,150.0,4,0,0,1,1
24.0,120.0,2,1,0,0,1
24.0,120.0,2,1,0,1,1
31.0,200.0,1,1,0,0,1
27.0,200.0,3,1,0,1,1
29.0,150.0,10,0,0,1,0
26.0,150.0,4,1,1,1,1
22.0,100.0,1,1,0,0,1
60.0,70.0,9,0,0,1,0
38.0,170.0,13,0,0,1,1
28.0,150.0,8,0,0,1,0
30.0,120.0,4,1,0,1,1
26.0,150.0,1,1,0,0,0
50.0,13.0,2,0,0,0,0
47.0,70.0,1,0,0,1,0
37.0,150.0,2,0,0,1,0
43.0,150.0,7,0,0,0,0
28.0,100.0,8,1,0,1,0
21.0,110.0,1,1,0,1,1
23.0,100.0,2,1,0,1,0
22.0,250.0,2,1,0,1,1
35.0,200.0,1,0,0,0,0
21.0,40.0,1,1,0,0,1
20.0,30.0,1,1,0,0,1
57.0,150.0,5,0,0,0,0
20.0,200.0,2,1,1,1,1
29.0,40.0,4,1,0,0,0
32.0,200.0,9,0,0,1,1
29.0,250.0,4,1,0,1,1
27.0,160.0,7,0,0,0,0
21.0,70.0,2,1,0,0,0
24.0,100.0,3,1,1,0,1
25.0,200.0,3,1,1,0,1
47.0,150.0,8,0,0,0,1
19.0,80.0,1,1,0,0,1
33.0,200.0,14,0,1,1,1
30.0,150.0,4,1,0,0,1
27.0,88.0,9,1,1,1,1
28.0,200.0,4,1,1,0,1
24.0,150.0,9,1,0,1,1
30.0,250.0,7,0,0,1,1
36.0,233.0,10,0,1,1,1
37.0,280.0,13,0,0,1,1
56.0,200.0,7,0,0,0,0
31.0,220.0,8,0,0,1,1
37.0,100.0,14,0,1,0,1
38.0,250.0,14,0,1,1,1
37.0,250.0,14,0,1,1,1
27.0,120.0,8,1,0,1,0
32.0,250.0,1,1,1,0,1
23.0,80.0,1,1,0,0,1
26.0,100.0,2,1,0,1,0
24.0,120.0,1,1,0,0,1
32.0,230.0,12,1,0,1,0
28.0,180.0,2,1,0,1,1
53.0,130.0,8,0,0,0,0
40.0,120.0,2,0,1,1,1
26.0,225.0,2,1,1,1,1
31.0,300.0,7,0,1,1,1
33.0,308.0,11,0,0,1,1
26.0,140.0,1,1,0,1,1
20.0,70.0,2,1,0,0,0
25.0,200.0,1,1,0,1,1
36.0,250.0,12,0,1,1,1
26.0,100.0,6,1,0,1,0
26.0,62.0,1,1,0,0,1
53.0,80.0,2,0,0,1,0
51.0,100.0,4,0,0,0,1
25.0,150.0,1,1,1,0,1
29.0,50.0,10,0,0,0,0
24.0,150.0,1,1,1,1,1
26.0,100.0,1,1,1,1,1
24.0,110.0,3,1,1,0,1
25.0,80.0,7,1,0,1,0
25.0,160.0,3,0,0,1,1
22.0,130.0,2,1,0,1,1
26.0,190.0,1,1,0,1,1
29.0,250.0,5,1,1,1,1
30.0,150.0,13,1,0,1,1
27.0,150.0,1,1,0,0,1
28.0,220.0,4,0,0,1,1
31.0,250.0,8,0,0,1,1
55.0,100.0,6,0,0,0,0
53.0,100.0,14,0,0,0,0
29.0,90.0,1,1,0,0,1
28.0,250.0,5,0,0,1,1
27.0,200.0,2,1,0,1,1
34.0,200.0,12,0,0,1,1
29.0,140.0,5,1,0,0,1
35.0,170.0,13,0,0,1,1
25.0,210.0,2,1,0,1,1
54.0,80.0,8,0,0,0,0
25.0,90.0,4,1,0,0,1
31.0,200.0,7,0,0,1,0
56.0,170.0,1,0,0,0,0
59.0,50.0,12,0,0,0,0
32.0,50.0,12,0,0,0,0
33.0,200.0,12,0,0,0,1
54.0,100.0,10,0,0,0,0
32.0,50.0,4,0,0,0,0
44.0,100.0,6,0,0,0,0
46.0,200.0,13,0,0,0,1
35.0,250.0,12,0,0,1,1
36.0,100.0,4,0,0,0,1
25.0,200.0,4,1,0,1,1
44.0,150.0,4,0,0,0,1
27.0,200.0,5,1,0,1,1
50.0,40.0,7,0,0,0,0
26.0,150.0,3,1,0,0,1
33.0,17.0,7,1,0,0,1
27.0,200.0,7,0,0,0,0
33.0,230.0,8,0,0,1,1
26.0,150.0,4,0,0,1,0
31.0,200.0,6,0,1,1,1
26.0,150.0,3,1,0,1,1
26.0,150.0,3,1,0,1,1
25.0,150.0,3,1,0,0,1
24.0,110.0,3,1,0,1,1
24.0,130.0,2,1,0,0,1
25.0,150.0,3,1,0,1,1
27.0,100.0,5,1,0,0,1
24.0,150.0,1,1,0,1,0
31.0,200.0,10,0,0,1,1
31.0,250.0,4,0,0,1,1
28.0,150.0,5,0,0,1,1
19.0,90.0,1,1,0,0,1
25.0,180.0,1,1,0,1,1
23.0,150.0,1,1,0,1,1
29.0,200.0,5,1,0,1,1
27.0,90.0,5,1,0,1,0
25.0,100.0,4,1,0,1,1
24.0,200.0,5,1,0,1,0
27.0,50.0,9,0,0,0,1
27.0,130.0,1,1,0,0,1
22.0,100.0,2,1,0,1,1
25.0,80.0,1,1,0,0,1
32.0,150.0,10,0,0,1,1
26.0,180.0,3,1,0,1,1
24.0,160.0,7,1,0,1,0
21.0,120.0,1,1,0,1,0
28.0,125.0,6,0,0,1,1
32.0,167.0,6,1,0,1,1
25.0,150.0,1,1,0,1,1
30.0,150.0,6,1,0,1,1
36.0,250.0,12,0,0,1,1
34.0,300.0,9,0,0,1,1
25.0,200.0,3,1,0,1,1
46.0,75.0,5,0,0,1,0
33.0,200.0,4,0,0,0,1
44.0,200.0,13,0,1,0,1
34.0,333.0,11,0,0,1,1
26.0,80.0,7,1,0,1,0
52.0,120.0,11,0,0,0,0
27.0,130.0,2,1,0,1,1
55.0,40.0,9,0,0,0,0
54.0,80.0,5,0,0,1,0
36.0,200.0,11,0,0,1,1
24.0,150.0,2,1,0,1,1
25.0,130.0,4,1,0,1,1
24.0,167.0,2,1,1,1,1
30.0,150.0,11,0,0,1,0
28.0,250.0,5,1,0,1,1
31.0,150.0,10,0,0,0,1
22.0,150.0,3,1,0,1,0
51.0,200.0,9,0,0,0,0
33.0,200.0,4,1,0,1,1
20.0,50.0,1,1,0,0,1
20.0,175.0,1,1,0,0,0
25.0,150.0,2,1,0,1,1
35.0,130.0,3,0,0,0,1
24.0,150.0,2,1,0,1,1
50.0,100.0,10,0,0,0,0
20.0,120.0,1,1,0,0,0
48.0,60.0,4,0,0,0,0
31.0,180.0,8,0,0,1,1
31.0,170.0,10,0,0,1,1
20.0,6.0,1,1,0,0,1
48.0,200.0,10,0,0,0,0
30.0,80.0,3,1,0,0,1
36.0,300.0,13,0,0,1,1
30.0,200.0,8,0,0,1,1
25.0,180.0,3,1,0,1,1
33.0,120.0,12,0,0,1,1
42.0,80.0,5,0,0,1,0
48.0,150.0,10,0,0,0,0
48.0,80.0,3,0,0,1,0
59.0,100.0,4,0,0,0,0
32.0,300.0,13,0,0,0,0
52.0,80.0,4,0,0,1,0
30.0,150.0,2,1,0,1,1
57.0,36.0,2,0,0,0,0
35.0,300.0,12,0,0,1,1
26.0,100.0,1,1,1,0,1
30.0,200.0,1,1,0,1,1
32.0,200.0,8,1,0,1,1
26.0,83.0,6,1,0,1,0
23.0,120.0,3,1,0,1,1
31.0,200.0,12,1,0,1,1
33.0,180.0,7,1,0,0,1
23.0,140.0,2,1,0,1,1
26.0,130.0,1,1,0,1,1
26.0,100.0,6,1,0,0,0
23.0,120.0,1,1,0,1,1
52.0,100.0,10,0,0,0,0
25.0,120.0,4,1,0,1,1
31.0,200.0,8,0,0,0,1
26.0,160.0,2,1,0,1,1
54.0,75.0,7,0,0,1,0
57.0,150.0,10,0,0,0,0
20.0,29.0,1,1,0,0,0
30.0,130.0,3,1,0,1,1
48.0,50.0,13,0,0,0,0
29.0,120.0,9,1,0,1,1
24.0,220.0,1,1,0,1,1
29.0,110.0,11,1,0,1,0
27.0,100.0,8,1,0,1,0
28.0,150.0,6,1,0,1,1
35.0,167.0,12,0,0,0,1
28.0,100.0,3,1,0,1,1
23.0,150.0,1,1,0,1,1
26.0,180.0,2,1,0,1,1
24.0,100.0,5,1,0,1,0
47.0,100.0,5,0,0,0,0
27.0,180.0,6,1,0,1,1
26.0,150.0,1,1,0,0,1
28.0,100.0,8,0,0,0,1
59.0,80.0,7,0,0,1,0
32.0,200.0,9,0,0,0,1
33.0,180.0,12,0,0,1,1
37.0,300.0,12,1,0,1,1
20.0,300.0,2,1,0,1,0
25.0,190.0,1,1,0,0,1
27.0,200.0,9,1,0,1,1
24.0,120.0,6,0,0,1,0
29.0,115.0,5,1,0,1,1
21.0,217.0,5,1,0,1,0
20.0,150.0,2,1,0,1,0
24.0,200.0,3,1,0,1,1
26.0,160.0,3,0,0,1,1
32.0,200.0,4,1,0,1,1
50.0,100.0,7,0,0,0,0
30.0,160.0,7,1,0,1,1
24.0,150.0,1,1,0,1,1
27.0,200.0,3,0,0,1,1
43.0,30.0,7,0,0,0,0
26.0,150.0,3,1,0,1,1
21.0,50.0,2,1,0,0,1
25.0,150.0,3,1,0,1,1
42.0,100.0,3,0,0,0,0
50.0,120.0,11,0,0,0,0
32.0,120.0,2,1,0,1,1
25.0,80.0,4,1,0,0,1
30.0,150.0,3,1,0,1,1
24.0,100.0,3,1,0,1,1
37.0,270.0,7,1,0,1,1
19.0,180.0,1,1,0,1,0
28.0,150.0,5,0,0,1,1
20.0,70.0,1,1,0,1,0
57.0,120.0,2,0,0,1,0
24.0,70.0,1,1,0,1,1
25.0,100.0,1,1,0,0,1
27.0,100.0,6,1,0,1,1
47.0,300.0,10,0,0,0,0
21.0,120.0,2,1,0,1,0
30.0,200.0,6,0,0,1,1
24.0,130.0,2,1,0,1,1
46.0,30.0,7,0,0,0,0
23.0,50.0,3,1,0,0,1
60.0,200.0,2,0,0,0,0
37.0,60.0,12,1,0,1,0
53.0,80.0,7,0,0,1,0
28.0,200.0,3,1,0,1,1
57.0,30.0,5,0,0,0,0
52.0,80.0,4,0,0,0,0
52.0,30.0,7,0,0,0,0
29.0,170.0,6,0,0,1,1
20.0,100.0,1,1,1,0,1
24.0,200.0,3,1,0,1,1
25.0,130.0,1,1,0,0,1
58.0,30.0,3,0,0,0,0
24.0,90.0,3,1,0,1,1
27.0,150.0,3,1,0,1,1
47.0,75.0,6,0,0,1,0
26.0,120.0,7,1,0,1,0
23.0,160.0,1,1,0,1,1
33.0,65.0,14,0,0,0,0
25.0,250.0,1,1,0,1,1
22.0,100.0,2,1,0,1,1
28.0,120.0,3,1,0,1,1
26.0,130.0,3,1,0,1,1
43.0,300.0,7,0,0,0,1
35.0,292.0,11,0,0,1,1
58.0,100.0,2,0,0,0,0
43.0,150.0,3,0,0,0,1
35.0,250.0,12,0,0,1,1
26.0,150.0,3,1,0,1,1
24.0,130.0,3,1,0,1,1
41.0,110.0,5,0,0,0,0
30.0,120.0,7,0,0,1,1
23.0,90.0,5,1,0,0,0
23.0,130.0,2,0,0,1,1
25.0,120.0,1,1,0,1,1
32.0,170.0,11,0,0,1,1
